food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
"Crisp bread, with oats",one,piece,,,,,18.0,,,,
"Crisp bread, with rye, brown",one,piece,,,,,12.0,,,,
"Crisp bread, with rye, Husman",one,piece,,,,,14.0,,,,
"Crisp bread, thin, Rugsprø, Finncrisp",one,piece,,,,,11.0,,,,
"Rice cake, with salt",one,piece,,,,,1.5,,,,
"Rice cake, without salt",one,piece,,,,,6.0,,,,
Taco boats,one,piece,,,,,20.0,,,,
Taco shell,one,piece,,,,,12.0,,,,
"Biscuit, for childen",one,piece,,,,,3.0,,,,
"Biscuit, with chocolate, for children",one,piece,,,,,7.0,,,,
"Biscuit, with oats, Bixit",one,piece,,,,,16.0,,,,
"Cookies, small",one,piece,,,,,11.0,,,,
"Cookies, large",one,piece,,,,,55.0,,,,
Cream cracker,one,piece,,,,,11.0,,,,
"Biscuit, with oats, Digestive",one,piece,,,,,15.0,,,,
"Cracker, Frokost",one,piece,,,,,9.0,,,,
"Biscuit, Gjende",one,piece,,,,,7.0,,,,
"Cracker, Kaptein",one,piece,,,,,7.0,,,,
Rusk,one,piece,,,,,9.0,,,,
"Biscuit, filled with jam or fruit",one,piece,,,,,13.0,,,,
"Biscuit, with oats and chocolate",one,piece,,,,,13.0,,,,
"Biscuit, filled",one,piece,,,,,13.0,,,,
"Cracker, Kornmo",one,piece,,,,,9.0,,,,
"Biscuit, Marie",one,piece,,,,,4.0,,,,
"Cracker, fatty and salted",one,piece,,,,,5.0,,,,
"Biscuit, with oats, SIBAS",one,piece,,,,,16.0,,,,
"Cracker, Start",one,piece,,,,,7.0,,,,
"Wafer, filled",one,piece,,,,,5.0,,,,
Coconut macaroon,one,piece,,,,,20.0,,,,
Almond sticks,one,piece,,,,,40.0,,,,
Meringue,one,piece,,,,,3.0,,,,
Gingersnaps,one,piece,,,,,7.0,,,,
Ginger nuts,one,piece,,,,,5.0,,,,
"Cookie, Serinakake",one,piece,,,,,10.0,,,,
"Berliner, filled doughnut",one,piece,,,,,65.0,,,,
"Sponge cake, layered, filled with whipped cream and jam",portion,portion,,,,,95.0,,,,
Croissant,one,piece,,,,,45.0,,,,
